               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,             0.04587,           0.0074778,            0.074426,             0.51793,             0.77032,             0.51771,             0.22953,            0.038567,           0.0057732,            0.074348,           0.0044498,           0.0044498,             0.05755
                  47,            0.043884,           0.0077354,            0.074369,             0.48006,             0.73852,             0.54284,             0.25933,            0.035855,           0.0058371,            0.074365,           0.0045341,           0.0045341,            0.056634
                  48,             0.04563,           0.0075437,            0.074382,             0.51015,             0.69611,             0.50108,             0.20547,             0.03873,           0.0058046,            0.074345,           0.0046178,           0.0046178,            0.055718
                  49,            0.044606,           0.0078854,            0.074485,             0.48938,             0.71378,             0.56421,             0.31012,            0.036122,           0.0058508,            0.074333,           0.0047008,           0.0047008,            0.054801
                  50,            0.047539,           0.0074711,            0.074446,             0.44435,              0.5583,             0.50032,             0.23468,            0.040618,           0.0060866,            0.074577,           0.0047831,           0.0047831,            0.053883
                  51,            0.046155,           0.0084009,            0.074611,             0.55582,             0.61903,             0.57867,             0.29405,            0.041432,           0.0057471,            0.074382,           0.0048648,           0.0048648,            0.052965
                  52,            0.049656,           0.0070719,            0.074607,             0.46325,              0.5583,             0.48677,             0.11689,            0.050638,           0.0053805,            0.074337,           0.0049457,           0.0049457,            0.052046
                  53,            0.053896,           0.0076413,            0.074778,             0.41191,             0.57597,             0.45955,             0.23348,            0.038128,           0.0062964,            0.074623,           0.0050259,           0.0050259,            0.051126
                  54,            0.045316,           0.0087328,            0.074599,             0.49914,             0.73951,             0.57182,             0.23074,            0.042579,           0.0058628,            0.074303,           0.0051054,           0.0051054,            0.050205
                  55,            0.043946,           0.0088067,            0.074411,             0.51023,             0.67491,             0.59833,             0.29312,            0.035282,            0.006183,            0.074283,           0.0051842,           0.0051842,            0.049284
                  56,            0.043234,           0.0084006,             0.07437,             0.48653,             0.63604,             0.58583,             0.32233,            0.035507,           0.0062903,            0.074294,           0.0052622,           0.0052622,            0.048362
                  57,            0.049304,           0.0079597,            0.074445,             0.48911,             0.65018,             0.56216,             0.21315,            0.040215,           0.0061865,            0.074355,           0.0053395,           0.0053395,            0.047439
                  58,            0.045755,           0.0079508,             0.07448,             0.47158,             0.67845,             0.58798,             0.20275,            0.041849,           0.0060667,             0.07429,            0.005416,            0.005416,            0.046516
                  59,             0.04948,           0.0075556,            0.074616,             0.63712,             0.62898,             0.66905,              0.3764,            0.034211,           0.0064641,            0.074453,           0.0054917,           0.0054917,            0.045592
                  60,            0.039573,           0.0084166,            0.074493,             0.53264,             0.73852,             0.61848,             0.24364,            0.040591,           0.0060945,            0.074264,           0.0055666,           0.0055666,            0.044667
                  61,            0.041666,           0.0077045,            0.074331,             0.61581,             0.60777,             0.62975,             0.20691,            0.036268,           0.0062174,            0.074254,           0.0056407,           0.0056407,            0.043741
                  62,            0.043411,           0.0078693,            0.074307,              0.5127,             0.76215,             0.62163,             0.32838,            0.033731,           0.0064289,            0.074249,           0.0057141,           0.0057141,            0.042814
                  63,            0.042304,           0.0085381,            0.074405,             0.53367,             0.71378,             0.61761,             0.35471,            0.031628,           0.0063825,             0.07426,           0.0057866,           0.0057866,            0.041887
                  64,            0.041001,           0.0081704,            0.074363,              0.6239,             0.70929,             0.67779,             0.32435,            0.036494,            0.006047,            0.074239,           0.0058583,           0.0058583,            0.040958
                  65,             0.04358,           0.0079156,            0.074349,             0.59788,             0.59893,             0.61178,             0.28815,            0.037084,           0.0060744,            0.074219,           0.0059291,           0.0059291,            0.040029
                  66,            0.044322,            0.008186,            0.074352,             0.49509,             0.73498,             0.60622,              0.3364,            0.032707,           0.0062499,            0.074244,           0.0059991,           0.0059991,            0.039099
                  67,            0.039427,           0.0078173,            0.074259,             0.59049,             0.65724,             0.65128,             0.27203,            0.037155,           0.0059455,            0.074231,           0.0060683,           0.0060683,            0.038168
                  68,            0.046071,           0.0080363,             0.07432,             0.61298,             0.63803,             0.63344,             0.36856,            0.031631,           0.0062953,            0.074235,           0.0061366,           0.0061366,            0.037237
                  69,            0.040698,           0.0077165,            0.074316,             0.56049,             0.69397,             0.63678,             0.18642,            0.036967,            0.006014,             0.07425,            0.006204,            0.006204,            0.036304
                  70,            0.037817,           0.0085974,            0.074326,             0.56181,             0.69611,             0.64561,             0.37181,            0.033034,           0.0060966,            0.074195,           0.0062705,           0.0062705,            0.035371
                  71,            0.042241,           0.0083288,            0.074201,             0.49968,             0.77032,             0.61984,             0.33278,            0.033545,           0.0061898,            0.074193,           0.0063361,           0.0063361,            0.034436
                  72,            0.042555,           0.0074368,            0.074252,             0.58285,             0.68198,             0.63998,             0.26072,            0.037864,           0.0057261,            0.074121,           0.0064009,           0.0064009,            0.033501
                  73,            0.038777,           0.0075587,            0.074178,             0.65813,             0.65302,             0.71002,             0.42436,            0.030946,           0.0057996,            0.074141,           0.0064647,           0.0064647,            0.032565
                  74,            0.035627,            0.008019,             0.07417,             0.57761,             0.71516,             0.68925,             0.35847,            0.031238,           0.0055234,            0.074144,           0.0065276,           0.0065276,            0.031628
                  75,            0.037104,           0.0075143,            0.074184,             0.59359,              0.7277,             0.68844,             0.40846,             0.03098,           0.0055517,             0.07412,           0.0065896,           0.0065896,             0.03069
                  76,            0.036888,           0.0076267,            0.074144,             0.55812,             0.69178,             0.64373,             0.35632,            0.035112,           0.0053771,            0.074096,           0.0066507,           0.0066507,            0.029751
                  77,            0.039387,           0.0074562,            0.074172,             0.45107,             0.59364,             0.43151,              0.2622,            0.032059,           0.0054334,            0.074184,           0.0067108,           0.0067108,            0.028811
                  78,            0.039621,           0.0078034,            0.074145,             0.44276,             0.64857,             0.41358,             0.16131,            0.035336,           0.0053441,            0.074199,             0.00677,             0.00677,             0.02787
                  79,              0.0412,           0.0072105,             0.07423,             0.70992,             0.67452,             0.74386,             0.33609,            0.032932,           0.0054833,            0.074127,           0.0068282,           0.0068282,            0.026928
                  80,            0.037865,             0.00744,            0.074211,             0.61571,             0.74165,             0.71917,              0.3968,            0.030633,           0.0056471,            0.074107,           0.0068855,           0.0068855,            0.025985
                  81,            0.037819,           0.0073571,            0.074186,             0.53282,             0.78184,             0.62265,             0.19806,            0.037619,           0.0053739,            0.074122,           0.0069418,           0.0069418,            0.025042
                  82,            0.036436,           0.0074566,            0.074196,             0.54791,             0.86572,             0.70906,             0.41343,            0.030808,           0.0055184,             0.07417,           0.0069971,           0.0069971,            0.024097
                  83,            0.037608,           0.0073675,            0.074197,             0.67765,             0.75265,             0.76086,             0.38997,            0.035358,           0.0052809,            0.074214,           0.0070514,           0.0070514,            0.023151
                  84,            0.038073,            0.006575,            0.074176,             0.65603,             0.75265,             0.74016,             0.30617,            0.034482,           0.0052351,            0.074134,           0.0071048,           0.0071048,            0.022205
                  85,            0.037632,           0.0072443,            0.074282,             0.67852,             0.75618,             0.74321,             0.43023,            0.031078,           0.0053067,            0.074139,           0.0071571,           0.0071571,            0.021257
                  86,            0.038078,           0.0079192,            0.074195,             0.62375,             0.76325,             0.72648,             0.43235,            0.031848,           0.0051992,            0.074112,           0.0072085,           0.0072085,            0.020308
                  87,            0.045023,           0.0068892,            0.074345,             0.65857,             0.77017,             0.71719,             0.39152,            0.033638,           0.0053344,            0.074217,           0.0072589,           0.0072589,            0.019359
                  88,            0.039637,           0.0075238,            0.074355,             0.69082,             0.72792,             0.71718,             0.45243,             0.03046,           0.0053602,            0.074178,           0.0073082,           0.0073082,            0.018408
